Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
record_id,consent_baseline,,text,Record ID,,,,,,,,,,,,,
screening_pass,consent_baseline,,yesno,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Did the participant </span>pass screening<span style=""font-weight: normal;"">? </span></p> <p><span style=""font-weight: normal;"">IE </span>[phone_number] <span style=""font-weight: normal;"">is<a href=""https://www.spydialer.com/""> not a Sinch VOiP</a> and when you run the QC script it tells you ""IP address = SAFE!""? </span></p></div>",,,,,,,,,,,,, @HIDDEN-SURVEY
timestamp_consent_bl,consent_baseline,,text,,,,date_mdy,,,,,,,,,," @HIDDEN
@NOW"
consent_url,consent_baseline,,text,Instrument URL,,,,,,,,,,,,," @CALCTEXT([form-url:instrument])
@HIDDEN-SURVEY"
pay_url,consent_baseline,,text,Payment URL,,,,,,,,,,,,," @CALCTEXT([form-url:payment_form])
@HIDDEN-SURVEY"
student_yn,consent_baseline,,yesno,Are you a Yale student taking this study as part of Introduction to Psychology?,,,,,,,,y,,,,,
interested_spstudy_consent,consent_baseline,,checkbox,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">This primary study has</span> finished collecting data<span style=""font-weight: normal;""> and <span style=""font-size: 14pt;"">now is only available to folks </span></span><span style=""font-size: 14pt;"">who intend to complete our longitudinal study<span style=""font-weight: normal;"">. </span></span></p> <p><span style=""font-weight: normal;"">The longitudinal study requires that individuals: </span></p> <p><span style=""font-weight: normal;"">1) Have not used a <a href=""https://en.wikipedia.org/wiki/List_of_psychedelic_drugs"">serotonergic psychedelic </a>in the past </span>6 weeks<span style=""font-weight: normal;""> (we need a good baseline to compare to)</span></p> <p><span style=""font-weight: normal;"">2) Plan to use a MACRODOSE of a serotonergic psychedelic before the Fall of 2026. </span></p> <p><span style=""font-weight: normal;"">3) Are willing to complete ~2hr of games/questionnaires before, during AND/OR 24 hours after (you only need to do one of these two timepoints but may do both), 1-2 weeks after, and 1-6 months after your NEXT psychedelic use</span></p> <p><span style=""font-weight: normal;"">4) Will not use serotonergic or atypical psychedelics until the study is completed (read: at least 1 month after your next psychedelic use) </span></p> <p><span style=""font-weight: normal; font-size: 14pt;"">Please check whether these apply to you below. </span></p></div>","1, I have not used a serotonergic psychedelic in the past 6 weeks (we need a good baseline to compare to) | 2, I plan to use a MACRODOSE of a serotonergic psychedelic before the Fall of 2026. | 3, I am willing to complete ~2hr of games/questionnaires before, during AND/OR 24 hours after (you only need to do one of these two timepoints but may do both), 1-2 weeks after, and 1-6 months after your NEXT psychedelic use | 4, I will not use serotonergic or atypical psychedelics until the study is completed (read: at least 1 month after your next psychedelic use) | 5, I cannot do the above and do not want to begin screening for this sutdy",,,,,,,y,,,,,
nolongitudinal_block,consent_baseline,,radio,"<div class=""rich-text-field-label""><p><span style=""font-size: 14pt;"">You may close this survey now.<span style=""font-weight: normal;""> </span></span><br><br>Sorry<span style=""font-weight: normal;""> -- we are only actively recruiting for our longitudinal study for now! Please keep your eyes peeled for additional opportunities in the future :) </span></p></div>","1, You will be unable to proceed because you have indicated that you cannot do our longitudinal study",,,,,,"[interested_spstudy_consent(1)]<>'1' and 
[interested_spstudy_consent(2)]<>'1' and
[interested_spstudy_consent(3)]<>'1' and 
[interested_spstudy_consent(4)]<>'1'",y,,,,, @READONLY
survey_closed,consent_baseline,,radio,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal; font-size: 14pt;""><strong>Apologies</strong> -- the maximum number of survey responses (for non-Yale students) for this period have been collected!</span></p> <p> </p> <p><span style=""font-weight: normal; font-size: 14pt;"">We <strong>plan to continue collecting responses SOON </strong></span></p> <p> </p> <p><span style=""font-size: 14pt;""><em><strong>Please check in each week to see if we are accepting new responses</strong></em></span></p> <p> </p> <p><span style=""font-weight: normal; font-size: 14pt;"">If you did not provide an email but would like to be contacted once the study resumes, please email <a href=""mailto:maximillian.greenwald@yale.edu"">maximillian.greenwald@yale.edu</a> </span></p> <p> </p></div>","1, Please check in in a week while we complete preliminary analyses, spruce up our measures, and incorporate participant feedback :)",,,,,,([student_yn]<> '1') and ([cope_pw]='SURVEYNOTCLOSED'),y,,,,, @READONLY
study_summary,consent_baseline,,descriptive,"<div class=""rich-text-field-label""><p style=""text-align: center;""><span style=""font-size: 14pt;""><span style=""text-decoration: underline;"">Study</span> <span style=""text-decoration: underline;"">Summary</span></span></p> <hr> <p dir=""ltr""><span style=""font-size: 12pt;"">WHAT THE STUDY INVOLVES:</span></p> <ul> <li dir=""ltr"" aria-level=""1""> <p dir=""ltr"" role=""presentation"">~2 hours<span style=""font-weight: normal;""> of time at your computer (this may be longer depending on how you answer). <em>You will </em></span><em>automatically</em><span style=""font-weight: normal;""><em> be directed to each new part but you can take </em></span><em>breaks</em><span style=""font-weight: normal;""><em> by sending yourself the survey link.</em></span></p> </li> <li dir=""ltr"" aria-level=""1""> <p dir=""ltr"" role=""presentation""><span style=""font-weight: normal;"">Signing the below </span>consent form<span style=""font-weight: normal;"">, correctly answering the consent quiz, </span><span style=""font-weight: normal;"">and completing an </span>eligibility survey</p> </li> <li dir=""ltr"" aria-level=""1""><span style=""font-weight: normal;"">A</span> 24 - 48hr wait<span style=""font-weight: normal;""> while reserachers </span>ensure eligibility </li> <li dir=""ltr"" aria-level=""1""> <p dir=""ltr"" role=""presentation"">2 questionnaires <span style=""font-weight: normal;"">about psychedelic and other drug use, mental health, how you think, and any unusual sensory experiences you've had.</span></p> </li> <li dir=""ltr"" aria-level=""1""> <p dir=""ltr"" role=""presentation"">4 online games <span style=""font-weight: normal;"">(10-25 minutes each)</span></p> </li> <li dir=""ltr"" aria-level=""1"">SMS verification <span style=""font-weight: normal;"">of a unique phone number</span></li> <li dir=""ltr"" aria-level=""1""> <p dir=""ltr"" role=""presentation""><span style=""font-weight: normal;"">A few debriefing</span> <span style=""font-weight: normal;"">and</span> quality-control <span style=""font-weight: normal;"">questions</span><span style=""font-weight: normal;"">.</span></p> </li> </ul> <p dir=""ltr""><span style=""font-size: 12pt;"">COMPENSATION:</span></p> <ul> <li dir=""ltr"" aria-level=""1""> <p dir=""ltr"" role=""presentation"">$40 <span style=""font-weight: normal;"">via US Bank Digital Gift Card (emailed), Amazon gift card (emailed), or Prolific account (direct)</span></p> </li> </ul> <p><span style=""font-size: 12pt;"">RULES FOR PARTICIPATION:</span></p> <ul> <li dir=""ltr"" aria-level=""1"">Payment may be withheld<span style=""font-weight: normal;""> until you</span> replay the games <span style=""font-weight: normal;"">if</span> <span style=""font-weight: normal;"">your responses show that you </span>did not understand the rules<span style=""font-weight: normal;""> or </span>answered randomly<span style=""font-weight: normal;"">.</span></li> <li dir=""ltr"" aria-level=""1"">Payment may be withheld<span style=""font-weight: normal;""> if survey responses show you are</span> not paying attention<span style=""font-weight: normal;"">, have provided </span>fraudulent responses<span style=""font-weight: normal;"">, or </span>are likely to be taking the survey multiple times.</li> <li dir=""ltr"" aria-level=""1"">Payment may be withheld <span style=""font-weight: normal;"">if your </span>breaks exceed<span style=""font-weight: normal;""> </span>24hrs</li> </ul> <p dir=""ltr"">WHAT IS NEEDED TO PARTICIPATE:</p> <ol> <li dir=""ltr"" aria-level=""1""> <p dir=""ltr"" role=""presentation""><span style=""font-weight: normal;"">A </span>Computer<span style=""font-weight: normal;""> (not smartphone or tablet)</span></p> </li> <li dir=""ltr"" aria-level=""1""> <p dir=""ltr"" role=""presentation"">Stable internet</p> </li> <li dir=""ltr"" aria-level=""1""> <p dir=""ltr"" role=""presentation""><span style=""font-weight: normal;"">Good </span>headphones</p> </li> <li dir=""ltr"" aria-level=""1""> <p dir=""ltr"" role=""presentation""><span style=""font-weight: normal;"">A </span>private<span style=""font-weight: normal;"">, </span>distraction-free <span style=""font-weight: normal;"">space</span></p> </li> <li dir=""ltr"" aria-level=""1""> <p dir=""ltr"" role=""presentation"">Some history of psychedelic use</p> </li> <li dir=""ltr"" aria-level=""1""> <p dir=""ltr"" role=""presentation""><span style=""font-weight: normal;""><strong id=""docs-internal-guid-07d09833-7fff-f38f-b3e2-18e36df1113b"">No same-day psychoactive drug-use </strong></span><strong id=""docs-internal-guid-07d09833-7fff-f38f-b3e2-18e36df1113b"">(besides nicotine or caffeine)</strong></p> </li> <li dir=""ltr"" aria-level=""1""><strong><span style=""font-weight: normal;"">A </span>cellphone<span style=""font-weight: normal;""> that can </span>receive SMS texts</strong></li> </ol></div>",,,,,,,[student_yn]<>'1',,,,,,
study_summary_yale,consent_baseline,,descriptive,"<div class=""rich-text-field-label""><p style=""text-align: center;""><span style=""font-size: 14pt;""><span style=""text-decoration: underline;"">Study</span> <span style=""text-decoration: underline;"">Summary</span></span></p> <hr> <p dir=""ltr""><span style=""font-size: 12pt;"">YALE STUDENTS -- <em>THIS STUDY ALSO RECRUITS PARTICIPANTS FOR-PAY WHO COMPLETE MORE QUESTIONNAIRES AND GAMES -- IGNORE ANY INFORMATION ABOUT TIMING ETC. JUST KEEP GOING UNTIL IT SAYS YOU ARE DONE. </em></span></p> <p dir=""ltr""> </p> <p dir=""ltr""><span style=""text-decoration: underline;""><span style=""font-size: 12pt;"">WHAT THE STUDY INVOLVES FOR YALE STUDENTS:</span></span></p> <ul> <li dir=""ltr"" aria-level=""1""> <p dir=""ltr"" role=""presentation""><span style=""font-weight: normal;"">Sign Consent</span></p> </li> <li dir=""ltr"" aria-level=""1""> <p dir=""ltr"" role=""presentation""><span style=""font-weight: 400;"">Screening form</span></p> </li> </ul> <p><em><span style=""font-weight: 400;"">Actual study:</span></em></p> <ul> <li dir=""ltr"" aria-level=""1""><span style=""font-weight: 400;"">Questionnaires #1</span></li> <li dir=""ltr"" aria-level=""1""> <p dir=""ltr"" role=""presentation""><span style=""font-weight: 400;"">Questionnaires #2</span></p> </li> <li dir=""ltr"" aria-level=""1""><span style=""font-weight: 400;"">Game #1 -- Can You See the Pattern?</span></li> <li dir=""ltr"" aria-level=""1""><span style=""font-weight: 400;"">Game #2 -- Lucky Picture Picking Game</span></li> <li dir=""ltr"" aria-level=""1""><span style=""font-weight: 400;"">Uber brief debrief Questions + option to download debrief form. </span></li> </ul></div>",,,,,,,[student_yn]='1',,,,,,
consent_baseline,consent_baseline,,descriptive,"<div class=""rich-text-field-label""><p style=""mso-margin-top-alt: auto; mso-margin-bottom-alt: auto; line-height: normal;""><span style=""font-size: 14pt;"">IMPORTANT:<span style=""font-weight: normal;""> <span style=""font-size: 12pt;"">please download and/or scroll through the attached PDF consent form -- <em>you will need to correctly answer a simple, brief quiz on aspects of this consent on the following page to ensure you understand what your participation consists of.</em></span></span></span></p> <p style=""mso-margin-top-alt: auto; mso-margin-bottom-alt: auto; line-height: normal;""><span style=""font-weight: normal;"">Signing this consent form is required before we may collect any information from you. It does not obligate you to perform any study procedures whatsoever : ) </span></p></div>",,,,,,,[student_yn]='0',,,,,,
control_group,consent_baseline,,yesno,"<div class=""rich-text-field-label""><p><span style=""font-weight: 400;"">Are you doing this study because you <span style=""text-decoration: underline;""><em><span style=""font-weight: normal;"">HAVE NOT </span></em></span>used a <a href=""https://en.wikipedia.org/wiki/List_of_psychedelic_drugs"">serotonergic psychedelic</a> in the past and want to be in the <span style=""text-decoration: underline;"">control group</span>?</span></p></div>",,,,,,,[student_yn]='0',y,,,,,
invited_yn,consent_baseline,,yesno,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Were you provided with a special</span><span style=""text-decoration: underline;""> password</span><span style=""font-weight: normal;"">?</span></p></div>",,,,,,,,y,,,,,
cope_pw,consent_baseline,,text,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Please provide the </span>password<span style=""font-weight: normal;""> provided to you in the email invitation. </span></p></div>",,,,,,,[invited_yn]='1',y,,,,,
sona_id,consent_baseline,,text,"Please enter your SONA ID (a five-digit ""identity code"" starting with a 7) so you can receive course credit!",,,,,,,[student_yn]='1',y,,,,,
prolific_yn,consent_baseline,,yesno,Are you taking this survey through Prolific?,,,,,,,[student_yn]<>'1',y,,,,,
prolific_id_bl,consent_baseline,,text,"Please enter your unique 24-character alphanumeric Prolific ID 
(do this carefully so we can pay you!)",,,,,,, [prolific_yn]='1' ,y,,,,,
mturk_yn,consent_baseline,,yesno,Are you taking this survey through MTurk?,,,,,,,[student_yn]<>'1',y,,,,,
mturk_id,consent_baseline,,text,"Please enter your unique 14-character MTurk ID 
(do this carefully so we can pay you!)",,,,,,, [mturk_yn]='1' ,y,,,,,
payment_pref,consent_baseline,,radio,How do you want to be paid?,"1, Physical VISA delivered by Amazon (NOT Currently an option) | 2, Amazon Gift Card (FASTEST option-- BUT make sure you check that you can actually receive what you want from Amazon.COM -- we are not able to send cards to other countries' Amazons) | 3, MTurk Account (not currently an option) | 4, Prolific Account (not currently an option) | 5, Digital Gift Card (NOT currently an option -- these cards are taking too long to send) | 6, Physical VISA delivered by us (NOT currently an option)",,,,,,([student_yn]='0') and ([prolific_yn]='0') and ([mturk_yn]='0'),y,,,,,
nousbank,consent_baseline,,radio,"<div class=""rich-text-field-label""><p><span style=""font-size: 14pt;"">Stop<span style=""font-weight: normal;"">! We are </span>no longer sending US Bank digital cards <span style=""font-weight: normal;"">because they are a mess to deal with at the Yale Business Office and are taking way too long to arrive for people :( </span></span><br><br>Sorry<span style=""font-weight: normal;""> -- if this is the only acceptable payment option for you please let us know and we can message if/when we offer these again.</span></p></div>","1, Please pick a different payment option for now :(",,,,,,[payment_pref]='5',,,,,, @READONLY
usbankinfo,consent_baseline,,descriptive,"Please see this PDF for information on how to claim your emailed US Bank Gift Card!
(You can download and save if you want -- the email will also contain information on how to activate your card)",,,,,,,[payment_pref]='5',,,,,,
no_prolific,consent_baseline,,checkbox,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">You must access this study through Prolific to be paid to your Prolific account. </span></p> <p><span style=""font-weight: normal;"">Please go to Prolific and select ""</span><span style=""text-decoration: underline;"">Yale Psychedelic Study</span><span style=""font-weight: normal;"">"" :)</span></p></div>","1, Checkbox disabled; please reopen this survey through Prolific or select another payment method",,,,,,[payment_pref]='4',y,,,,, @READONLY
no_prolific_2,consent_baseline,,checkbox,"<div class=""rich-text-field-label""><p><span style=""font-weight: 400;"">Physical VISA gift cards are <span style=""font-weight: normal;"">no longer an option</span> :( </span></p> <p><span style=""font-weight: 400;"">Digital e-Gift cards function like a VISA gift card and come much, much faster!</span></p> <p> </p> <p><em><span style=""font-weight: 400;"">If none of the payment options are possible for you but you still very much want to participate, please email maximillian.greenwald@yale.edu</span></em></p></div>","1, Checkbox disabled; please reopen this survey through Prolific or select another payment method",,,,,,[payment_pref]='4',y,,,,, @READONLY
no_mturk,consent_baseline,,checkbox,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">We're sorry, this study is currenlty </span><span style=""text-decoration: underline;"">unavailable via MTurk</span></p> <p><span style=""font-weight: normal;"">You may consider checking back later to look for ""</span><span style=""text-decoration: underline;"">Yale Psychedelic Study</span><span style=""font-weight: normal;"">"" on MTurk</span></p></div>","1, Checkbox disabled; please reopen this survey through Mturk or select another payment method",,,,,,[payment_pref]='3',y,,,,, @READONLY
payment_email_bl,consent_baseline,,text,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Please enter an </span>email address<span style=""font-weight: normal;""> that we can send your Gift Card to.</span></p> <p><span style=""font-weight: normal;""><span style=""text-decoration: underline;"">NOTE</span>: While we aim to send compensation within a few days of completion, please know that card delivery can take up to </span>15 business days<span style=""font-weight: normal;""> due to unavoidable processing time from Yale's Business Office :(</span></p></div>",,,email,,,,([student_yn]='0') and ([payment_pref]='2' or [payment_pref]='5'),y,,,,,
payment_email_bl_2,consent_baseline,,text,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Please</span> re-enter the same email address<span style=""font-weight: normal;""> to make sure there aren't any typos :)</span></p></div>",,,email,,,,([student_yn]='0') and ([payment_pref]='2' or [payment_pref]='5'),y,,,,,
firstname,consent_baseline,,text,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Please enter your </span>legal <span style=""text-decoration: underline;"">first</span> name<span style=""font-weight: normal;"">. </span></p> <p><span style=""font-weight: normal;""><span style=""text-decoration: underline;"">NOTE</span>: While we do not encourage it, if for </span><em>privacy reasons</em><span style=""font-weight: normal;""> you enter a name different than your true name </span><em>you will still be able to use your card if you use the false name when using the card.</em></p> <p><span style=""text-decoration: underline;"">The risk</span><span style=""font-weight: normal;""> in doing this is that merchants who require registrant information (eg. a mailing address and name) may reject your card, and you will be unable to troubleshoot, request a physical card, or seek help from US Bank. </span></p> <p><span style=""font-weight: normal;"">Providing a false name is NOT illegal and will NOT affect your participation. </span></p></div>",,,,,,,([student_yn]='0') and ([payment_pref]='5'),y,,,,,
lastname,consent_baseline,,text,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Please enter your </span>legal <span style=""text-decoration: underline;"">last</span> name<span style=""font-weight: normal;"">. </span></p> <p><span style=""font-weight: normal;""><span style=""text-decoration: underline;"">NOTE</span>: While we do not encourage it, if for </span><em>privacy reasons</em><span style=""font-weight: normal;""> you enter a name different than your true name </span><em>you will still be able to use your card if you use the false name when using the card.</em></p> <p><span style=""text-decoration: underline;"">The risk</span><span style=""font-weight: normal;""> in doing this is that merchants who require registrant information (eg. a mailing address and name) may reject your card, and you will be unable to troubleshoot, request a physical card, or seek help from US Bank. </span></p> <p><span style=""font-weight: normal;"">Providing a false name is NOT illegal and will NOT affect your participation. </span></p></div>",,,,,,,([student_yn]='0') and ([payment_pref]='5'),y,,,,,
emailswrong,consent_baseline,,radio,It looks like one of the two emails above doesn't match! Please double check your work :) ,"1, Go back and make sure the emails are the same!",,,,,,[payment_email_bl] <> [payment_email_bl_2],y,,,,, @READONLY
payment_address_bl,consent_baseline,,notes,"<div class=""rich-text-field-label""><p>Please enter a <span style=""text-decoration: underline;"">shipping address</span> and <span style=""text-decoration: underline;"">first/last name</span> so that we can send your VISA Gift Card to <br>(<em>if you are uncomfortable with sharing address/name, you can pick Amazon gift card which can be sent to any email address.</em>)</p> <p><span style=""font-weight: normal;""><em><span style=""font-size: 12pt;"">Note: to deter VISA card theft in transit (and make sure folks get paid in a timely fashion!) we are requiring that folks </span></em></span><em><span style=""font-size: 12pt;"">sign upon delivery</span></em><span style=""font-weight: normal;""><em><span style=""font-size: 12pt;""> with whatever first/last name is included above!</span></em></span></p></div>",,,,,,,[payment_pref]='1' or [payment_pref]='6',y,,,,,
